taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
280754,7758,TRUE,TRUE,TRUE,TRUE
696354,7772,TRUE,TRUE,TRUE,TRUE
153667,1766,FALSE,FALSE,FALSE,FALSE
1105340,7368,TRUE,TRUE,TRUE,TRUE
40601,7361,TRUE,TRUE,TRUE,TRUE
1649126,2052,FALSE,FALSE,FALSE,FALSE
264952,7272,TRUE,TRUE,TRUE,TRUE
1076432,2052,FALSE,FALSE,FALSE,FALSE
1094350,7767,TRUE,TRUE,TRUE,TRUE
29856,7694,TRUE,TRUE,TRUE,TRUE
267682,2043,FALSE,FALSE,FALSE,FALSE
33203,7758,TRUE,TRUE,TRUE,TRUE
42367,7773,TRUE,TRUE,TRUE,TRUE
111463,7759,TRUE,TRUE,TRUE,TRUE
369263,7697,TRUE,TRUE,TRUE,TRUE
332947,7550,TRUE,TRUE,TRUE,TRUE
72228,7775,TRUE,TRUE,TRUE,TRUE
1912256,1369,FALSE,FALSE,FALSE,FALSE
29909,7762,TRUE,TRUE,TRUE,TRUE
29910,7631,TRUE,TRUE,TRUE,TRUE
38002,7389,TRUE,TRUE,TRUE,TRUE
93589,2052,FALSE,FALSE,FALSE,FALSE
5044,7728,TRUE,TRUE,TRUE,TRUE
1321937,2052,FALSE,FALSE,FALSE,FALSE
749674,1256,FALSE,FALSE,FALSE,FALSE
5107,2052,FALSE,FALSE,FALSE,FALSE
318858,2052,FALSE,FALSE,FALSE,FALSE
1715234,4520,FALSE,FALSE,FALSE,FALSE
1885597,1844,FALSE,FALSE,FALSE,FALSE
2203296,5515,FALSE,FALSE,TRUE,TRUE
5455,7769,TRUE,TRUE,TRUE,TRUE
690256,7770,TRUE,TRUE,TRUE,TRUE
474922,7760,TRUE,TRUE,TRUE,TRUE
5464,2042,FALSE,FALSE,FALSE,FALSE
690259,998,FALSE,FALSE,FALSE,FALSE
80884,7770,TRUE,TRUE,TRUE,TRUE
1209932,7761,TRUE,TRUE,TRUE,TRUE
306554,2052,FALSE,FALSE,FALSE,FALSE
343994,7658,TRUE,TRUE,TRUE,TRUE
1209926,7757,TRUE,TRUE,TRUE,TRUE
5466,1397,FALSE,FALSE,FALSE,FALSE
5462,7683,TRUE,TRUE,TRUE,TRUE
2175846,2052,FALSE,FALSE,FALSE,FALSE
1173701,1607,FALSE,FALSE,FALSE,FALSE
1036719,7767,TRUE,TRUE,TRUE,TRUE
27337,7768,TRUE,TRUE,TRUE,TRUE
1051616,7750,TRUE,TRUE,TRUE,TRUE
1051613,7772,TRUE,TRUE,TRUE,TRUE
1302862,7756,TRUE,TRUE,TRUE,TRUE
398408,7684,TRUE,TRUE,TRUE,TRUE
1929893,7525,TRUE,TRUE,TRUE,TRUE
563466,7756,TRUE,TRUE,TRUE,TRUE
561152,7519,TRUE,TRUE,TRUE,TRUE
41688,2052,FALSE,FALSE,FALSE,FALSE
60496,1686,FALSE,FALSE,FALSE,FALSE
1739117,2052,FALSE,FALSE,FALSE,FALSE
