"","kingdom","phylum","class","order","family","genus","species"
"1130389","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Odonticium","Odonticium laxum"
"57136","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Sarcodon","Sarcodon imbricatus"
"604292","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Laccaria","Laccaria sp. SK05031"
"604291","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Laccaria","Laccaria sp. DED7419"
"117064","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Tephrocybe","Tephrocybe anthracophila"
"497989","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Gymnopilus","Gymnopilus purpureosquamulosus"
"98344","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Pleurotus","Pleurotus euosmus"
"1276656","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe alboradicans"
"41249","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena viridimarginata"
"1086059","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Phakopsoraceae","Phakopsora","Phakopsora coca"
"2563001","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia","Puccinia corylopsidis"
"1314975","Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Scutellospora","Scutellospora alterata"
"281847","Fungi","Cryptomycota",NA,NA,NA,"Rozella","Rozella allomycis"
"5058","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus ficuum"
"1653998","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium sp. 10 BRM-2015"
"152484","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium sp. 3-54"
"1628991","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium sp. MF509"
"69793","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium baarnense"
"60167","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium cyclopium"
"293380","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium formosanum"
"888612","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp. FL-2010k"
"1055492","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria microconidia"
"1634483","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Penicillifer","Penicillifer pulcher"
"1491004","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma pulvinatum"
"83212","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps","Claviceps africana"
"468616","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,"Verticillium","Verticillium biguttatum"
"1420317","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium sp. A109"
"986066","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae",NA,"uncultured Neurospora"
"95154","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Grosmannia","Grosmannia dryocoetidis"
"95157","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Grosmannia","Grosmannia aurea"
"61193","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ophiostoma","Ophiostoma himal-ulmi"
"417002","Fungi","Ascomycota","Sordariomycetes",NA,NA,"Xylomelasma",NA
"337455","Fungi","Ascomycota","Sordariomycetes",NA,NA,"Ceratostomella","Ceratostomella pyrenaica"
"398391","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Apiospora","Apiospora sp. ICMP 7019-96"
"1766714","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","Nigrospora sp. TEJ20"
"2716939","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Corniculariella","Corniculariella rhamni"
"2234015","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella","Trichosporiella sp."
"47830","Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Lachnellula",NA
"1526222","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia sp. IFB-Z10"
"2499871","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Synfenestella","Synfenestella sorbi"
"1840646","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,"Pseudochaetosphaeronema","Pseudochaetosphaeronema ginkgonis"
"265184","Fungi","Ascomycota","Dothideomycetes","Dothideales",NA,NA,"uncultured Dothideales"
"66739","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia",NA
"1911173","Fungi","Ascomycota","Dothideomycetes","Asterinales","Asterinaceae","Asterina","Asterina cynometrae"
"2259875","Fungi","Ascomycota","Dothideomycetes","Muyocopronales","Muyocopronaceae","Mycoleptodiscus","Mycoleptodiscus endophytica"
"2449038","Fungi","Ascomycota","Dothideomycetes",NA,NA,"Clypeostroma","Clypeostroma spilomeum"
"196567","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Micareaceae","Micarea",NA
"312219","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Micareaceae","Micarea","Micarea prasina"
"284076","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Psilolechiaceae","Psilolechia","Psilolechia leprosa"
"1340012","Fungi","Ascomycota","Lecanoromycetes","Leprocaulales","Leprocaulaceae","Leprocaulon","Leprocaulon quisquiliare"
"1934635","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum","Trichoglossum rasum"
"164580","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotheca","Chaenotheca phaeocephala"
"1935300","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Amylascus","Amylascus sp."
"2751844","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Sowerbyella","Sowerbyella sp. SM-2020a"
"358418","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae",NA,"uncultured Pyronemataceae"
"1174674","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Morchella prava"
"1738107","Fungi","Ascomycota","Pezizomycetes","Pezizales","Helvellaceae","Helvella","Helvella sp. KA12-1302"
"273131","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Nakaseomyces","[Candida] bracarensis"
"51620","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Vanderwaltozyma","Vanderwaltozyma yarrowii"
"1586252","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida sp. NYNU 14719"
"1276930","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Debaryomyces psychrosporus"
"27306","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Schwanniomyces","Schwanniomyces yamadae"
"507509","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Danielozyma","Danielozyma litseae"
"473037","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia similis"
"1217583","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia saccharicola"
"44065","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum klebahnii"
"2021178","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces","Lipomyces sp. CH01"
"48148","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae","Protomyces","Protomyces pachydermus"
"986052","Fungi","Ascomycota",NA,NA,NA,NA,"uncultured Capnocheirides"
"40483","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Fomitopsis","Fomitopsis pinicola"
"1048773","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae",NA,"uncultured Peniophorella"
"68789","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Aleurobotrys","Aleurobotrys botryosus"
"2496069","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula purpureoverrucosa"
"40452","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales",NA,"Trichaptum","Trichaptum abietinum"
"1203441","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus guyanensis"
"229420","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae",NA,"uncultured Tulasnella"
"1967575","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Sarcodon","Sarcodon sp."
"160916","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Myxarium",NA
"201230","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Macrolepiota","Macrolepiota fuliginosa"
"1636622","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota subgranulosa"
"1358750","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella sp. 8 EL-2013"
"1745974","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe sp. 2 EL-2015"
"2743664","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Pleurotus","Pleurotus sp. 5 JL-2020"
"5321","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Pleurotus","Pleurotus cornucopiae"
"684103","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma griseolazulinum"
